id,level,task_type,question,serialized_table,prompt,answer,operation,evidence_json,metadata_json,table_json
A-L5-0001,5,physics_derived_quantity,"According to the table, what is the kinetic energy for Chris?","| Elapsed time | Altitude | Person | Mass | Speed |
| --- | --- | --- | --- | --- |
| 111.9 s | 7169 m | Lena | 106 kg | 64.1 m/s |
| 94.3 s | 7249 m | Ava | 92 kg | 41.6 m/s |
| 14.6 s | 5551 m | Chris | 53 kg | 19.1 m/s |
| 94.6 s | 2258 m | Maya | 75 kg | 37.4 m/s |
| 26.2 s | 9613 m | Yuna | 50 kg | 14.8 m/s |
| 95.8 s | 9483 m | Nora | 100 kg | 18.5 m/s |
| 39.9 s | 918 m | Oliver | 53 kg | 64.1 m/s |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Elapsed time | Altitude | Person | Mass | Speed |
| --- | --- | --- | --- | --- |
| 111.9 s | 7169 m | Lena | 106 kg | 64.1 m/s |
| 94.3 s | 7249 m | Ava | 92 kg | 41.6 m/s |
| 14.6 s | 5551 m | Chris | 53 kg | 19.1 m/s |
| 94.6 s | 2258 m | Maya | 75 kg | 37.4 m/s |
| 26.2 s | 9613 m | Yuna | 50 kg | 14.8 m/s |
| 95.8 s | 9483 m | Nora | 100 kg | 18.5 m/s |
| 39.9 s | 918 m | Oliver | 53 kg | 64.1 m/s |

Question: According to the table, what is the kinetic energy for Chris?",9667.47 J,kinetic_energy,"{""target_row"": ""Chris"", ""mass_kg"": 53, ""speed_m_s"": 19.1}","{""quantity"": ""Kinetic energy"", ""answer_digits"": 2}","{""headers"": [""Elapsed time"", ""Altitude"", ""Person"", ""Mass"", ""Speed""], ""rows"": [[""111.9 s"", ""7169 m"", ""Lena"", ""106 kg"", ""64.1 m/s""], [""94.3 s"", ""7249 m"", ""Ava"", ""92 kg"", ""41.6 m/s""], [""14.6 s"", ""5551 m"", ""Chris"", ""53 kg"", ""19.1 m/s""], [""94.6 s"", ""2258 m"", ""Maya"", ""75 kg"", ""37.4 m/s""], [""26.2 s"", ""9613 m"", ""Yuna"", ""50 kg"", ""14.8 m/s""], [""95.8 s"", ""9483 m"", ""Nora"", ""100 kg"", ""18.5 m/s""], [""39.9 s"", ""918 m"", ""Oliver"", ""53 kg"", ""64.1 m/s""]]}"
A-L5-0002,5,bayes_posterior,"For Group-A, what is the probability that a person actually has the condition given a positive test?","| Population | False positive rate | Prevalence | Sensitivity |
| --- | --- | --- | --- |
| Group-K | 7.84% | 14.86% | 81.15% |
| Group-A | 26.29% | 10.42% | 67.87% |
| Group-D | 3.54% | 9.48% | 96.42% |
| Group-H | 7.37% | 9.53% | 88.96% |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Population | False positive rate | Prevalence | Sensitivity |
| --- | --- | --- | --- |
| Group-K | 7.84% | 14.86% | 81.15% |
| Group-A | 26.29% | 10.42% | 67.87% |
| Group-D | 3.54% | 9.48% | 96.42% |
| Group-H | 7.37% | 9.53% | 88.96% |

Question: For Group-A, what is the probability that a person actually has the condition given a positive test?",23.09%,bayes_rule,"{""target_row"": ""Group-A"", ""prevalence"": 0.10418815662708099, ""sensitivity"": 0.67867583015343, ""false_positive_rate"": 0.26294946105864403}","{""formula"": ""sens*prev / (sens*prev + fpr*(1-prev))"", ""answer_digits"": 2}","{""headers"": [""Population"", ""False positive rate"", ""Prevalence"", ""Sensitivity""], ""rows"": [[""Group-K"", ""7.84%"", ""14.86%"", ""81.15%""], [""Group-A"", ""26.29%"", ""10.42%"", ""67.87%""], [""Group-D"", ""3.54%"", ""9.48%"", ""96.42%""], [""Group-H"", ""7.37%"", ""9.53%"", ""88.96%""]]}"
A-L5-0003,5,missing_value_from_total,The Part D entry for Sample-E is missing. What should it be?,"| Sample | Total | Part C | Part B | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| Sample-A | 186 | 17 | 18 | 46 | 105 |
| Sample-F | 255 | 54 | 47 | 95 | 59 |
| Sample-I | 217 | 56 | 91 | 51 | 19 |
| Sample-G | 277 | 106 | 14 | 37 | 120 |
| Sample-C | 370 | 110 | 103 | 55 | 102 |
| Sample-E | 269 | 97 | 119 | 20 | ? |
| Sample-K | 157 | 31 | 63 | 40 | 23 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Sample | Total | Part C | Part B | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| Sample-A | 186 | 17 | 18 | 46 | 105 |
| Sample-F | 255 | 54 | 47 | 95 | 59 |
| Sample-I | 217 | 56 | 91 | 51 | 19 |
| Sample-G | 277 | 106 | 14 | 37 | 120 |
| Sample-C | 370 | 110 | 103 | 55 | 102 |
| Sample-E | 269 | 97 | 119 | 20 | ? |
| Sample-K | 157 | 31 | 63 | 40 | 23 |

Question: The Part D entry for Sample-E is missing. What should it be?",33,recover_from_total,"{""target_row"": ""Sample-E"", ""missing_column"": ""Part D"", ""known_total"": 269, ""visible_components"": {""Part A"": 20, ""Part B"": 119, ""Part C"": 97}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Sample"", ""Total"", ""Part C"", ""Part B"", ""Part A"", ""Part D""], ""rows"": [[""Sample-A"", 186, 17, 18, 46, 105], [""Sample-F"", 255, 54, 47, 95, 59], [""Sample-I"", 217, 56, 91, 51, 19], [""Sample-G"", 277, 106, 14, 37, 120], [""Sample-C"", 370, 110, 103, 55, 102], [""Sample-E"", 269, 97, 119, 20, ""?""], [""Sample-K"", 157, 31, 63, 40, 23]]}"
A-L5-0004,5,physics_derived_quantity,What is Oliver's momentum?,"| Mass | Person | Elapsed time | Altitude | Speed |
| --- | --- | --- | --- | --- |
| 69 kg | Emma | 39.3 s | 804 m | 49.6 m/s |
| 83 kg | Ava | 45.5 s | 765 m | 8.4 m/s |
| 86 kg | Nora | 101.8 s | 2499 m | 32.2 m/s |
| 50 kg | Alex | 14.3 s | 811 m | 34.3 m/s |
| 92 kg | Oliver | 112.5 s | 8615 m | 75.8 m/s |
| 100 kg | Theo | 114.6 s | 6853 m | 54.0 m/s |
| 64 kg | Julia | 22.9 s | 1119 m | 29.1 m/s |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Mass | Person | Elapsed time | Altitude | Speed |
| --- | --- | --- | --- | --- |
| 69 kg | Emma | 39.3 s | 804 m | 49.6 m/s |
| 83 kg | Ava | 45.5 s | 765 m | 8.4 m/s |
| 86 kg | Nora | 101.8 s | 2499 m | 32.2 m/s |
| 50 kg | Alex | 14.3 s | 811 m | 34.3 m/s |
| 92 kg | Oliver | 112.5 s | 8615 m | 75.8 m/s |
| 100 kg | Theo | 114.6 s | 6853 m | 54.0 m/s |
| 64 kg | Julia | 22.9 s | 1119 m | 29.1 m/s |

Question: What is Oliver's momentum?",6973.60 kg·m/s,momentum,"{""target_row"": ""Oliver"", ""mass_kg"": 92, ""speed_m_s"": 75.8}","{""quantity"": ""Momentum"", ""answer_digits"": 2}","{""headers"": [""Mass"", ""Person"", ""Elapsed time"", ""Altitude"", ""Speed""], ""rows"": [[""69 kg"", ""Emma"", ""39.3 s"", ""804 m"", ""49.6 m/s""], [""83 kg"", ""Ava"", ""45.5 s"", ""765 m"", ""8.4 m/s""], [""86 kg"", ""Nora"", ""101.8 s"", ""2499 m"", ""32.2 m/s""], [""50 kg"", ""Alex"", ""14.3 s"", ""811 m"", ""34.3 m/s""], [""92 kg"", ""Oliver"", ""112.5 s"", ""8615 m"", ""75.8 m/s""], [""100 kg"", ""Theo"", ""114.6 s"", ""6853 m"", ""54.0 m/s""], [""64 kg"", ""Julia"", ""22.9 s"", ""1119 m"", ""29.1 m/s""]]}"
A-L5-0005,5,missing_value_from_total,Recover the hidden Part D value for Sample-C.,"| Part B | Total | Part D | Part A | Sample | Part C |
| --- | --- | --- | --- | --- | --- |
| 63 | 250 | ? | 75 | Sample-C | 34 |
| 97 | 240 | 41 | 74 | Sample-F | 28 |
| 82 | 223 | 21 | 49 | Sample-G | 71 |
| 16 | 265 | 64 | 83 | Sample-K | 102 |
| 87 | 276 | 61 | 72 | Sample-I | 56 |
| 45 | 261 | 111 | 81 | Sample-H | 24 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part B | Total | Part D | Part A | Sample | Part C |
| --- | --- | --- | --- | --- | --- |
| 63 | 250 | ? | 75 | Sample-C | 34 |
| 97 | 240 | 41 | 74 | Sample-F | 28 |
| 82 | 223 | 21 | 49 | Sample-G | 71 |
| 16 | 265 | 64 | 83 | Sample-K | 102 |
| 87 | 276 | 61 | 72 | Sample-I | 56 |
| 45 | 261 | 111 | 81 | Sample-H | 24 |

Question: Recover the hidden Part D value for Sample-C.",78,recover_from_total,"{""target_row"": ""Sample-C"", ""missing_column"": ""Part D"", ""known_total"": 250, ""visible_components"": {""Part A"": 75, ""Part B"": 63, ""Part C"": 34}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part B"", ""Total"", ""Part D"", ""Part A"", ""Sample"", ""Part C""], ""rows"": [[63, 250, ""?"", 75, ""Sample-C"", 34], [97, 240, 41, 74, ""Sample-F"", 28], [82, 223, 21, 49, ""Sample-G"", 71], [16, 265, 64, 83, ""Sample-K"", 102], [87, 276, 61, 72, ""Sample-I"", 56], [45, 261, 111, 81, ""Sample-H"", 24]]}"
A-L5-0006,5,bayes_posterior,"For Group-B, compute the posterior probability of having the condition after a positive test.","| Sensitivity | Population | False positive rate | Prevalence |
| --- | --- | --- | --- |
| 73.69% | Group-A | 25.72% | 10.67% |
| 72.73% | Group-H | 21.97% | 23.75% |
| 64.16% | Group-I | 28.94% | 21.85% |
| 68.54% | Group-B | 25.70% | 32.98% |
| 72.70% | Group-G | 29.60% | 31.06% |
| 67.60% | Group-D | 9.50% | 19.68% |
| 70.61% | Group-C | 29.66% | 27.05% |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Sensitivity | Population | False positive rate | Prevalence |
| --- | --- | --- | --- |
| 73.69% | Group-A | 25.72% | 10.67% |
| 72.73% | Group-H | 21.97% | 23.75% |
| 64.16% | Group-I | 28.94% | 21.85% |
| 68.54% | Group-B | 25.70% | 32.98% |
| 72.70% | Group-G | 29.60% | 31.06% |
| 67.60% | Group-D | 9.50% | 19.68% |
| 70.61% | Group-C | 29.66% | 27.05% |

Question: For Group-B, compute the posterior probability of having the condition after a positive test.",56.75%,bayes_rule,"{""target_row"": ""Group-B"", ""prevalence"": 0.3297910709738001, ""sensitivity"": 0.6854030094191603, ""false_positive_rate"": 0.257038925099684}","{""formula"": ""sens*prev / (sens*prev + fpr*(1-prev))"", ""answer_digits"": 2}","{""headers"": [""Sensitivity"", ""Population"", ""False positive rate"", ""Prevalence""], ""rows"": [[""73.69%"", ""Group-A"", ""25.72%"", ""10.67%""], [""72.73%"", ""Group-H"", ""21.97%"", ""23.75%""], [""64.16%"", ""Group-I"", ""28.94%"", ""21.85%""], [""68.54%"", ""Group-B"", ""25.70%"", ""32.98%""], [""72.70%"", ""Group-G"", ""29.60%"", ""31.06%""], [""67.60%"", ""Group-D"", ""9.50%"", ""19.68%""], [""70.61%"", ""Group-C"", ""29.66%"", ""27.05%""]]}"
A-L5-0007,5,missing_value_from_total,What value is missing for Sample-G in Part C?,"| Part C | Sample | Part A | Total | Part D | Part B |
| --- | --- | --- | --- | --- | --- |
| 111 | Sample-L | 117 | 328 | 70 | 30 |
| 32 | Sample-A | 114 | 372 | 108 | 118 |
| 19 | Sample-K | 63 | 221 | 91 | 48 |
| 23 | Sample-B | 13 | 161 | 65 | 60 |
| 32 | Sample-C | 48 | 187 | 34 | 73 |
| ? | Sample-G | 70 | 239 | 14 | 70 |
| 26 | Sample-F | 107 | 263 | 113 | 17 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part C | Sample | Part A | Total | Part D | Part B |
| --- | --- | --- | --- | --- | --- |
| 111 | Sample-L | 117 | 328 | 70 | 30 |
| 32 | Sample-A | 114 | 372 | 108 | 118 |
| 19 | Sample-K | 63 | 221 | 91 | 48 |
| 23 | Sample-B | 13 | 161 | 65 | 60 |
| 32 | Sample-C | 48 | 187 | 34 | 73 |
| ? | Sample-G | 70 | 239 | 14 | 70 |
| 26 | Sample-F | 107 | 263 | 113 | 17 |

Question: What value is missing for Sample-G in Part C?",85,recover_from_total,"{""target_row"": ""Sample-G"", ""missing_column"": ""Part C"", ""known_total"": 239, ""visible_components"": {""Part A"": 70, ""Part B"": 70, ""Part D"": 14}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part C"", ""Sample"", ""Part A"", ""Total"", ""Part D"", ""Part B""], ""rows"": [[111, ""Sample-L"", 117, 328, 70, 30], [32, ""Sample-A"", 114, 372, 108, 118], [19, ""Sample-K"", 63, 221, 91, 48], [23, ""Sample-B"", 13, 161, 65, 60], [32, ""Sample-C"", 48, 187, 34, 73], [""?"", ""Sample-G"", 70, 239, 14, 70], [26, ""Sample-F"", 107, 263, 113, 17]]}"
A-L5-0008,5,missing_value_from_total,What value is missing for Sample-F in Part D?,"| Part C | Total | Part B | Sample | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| 44 | 283 | 99 | Sample-J | 116 | 24 |
| 13 | 240 | 75 | Sample-C | 57 | 95 |
| 24 | 315 | 102 | Sample-D | 115 | 74 |
| 89 | 252 | 14 | Sample-I | 30 | 119 |
| 40 | 228 | 26 | Sample-L | 49 | 113 |
| 85 | 223 | 94 | Sample-F | 25 | ? |
| 77 | 327 | 88 | Sample-H | 100 | 62 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Part C | Total | Part B | Sample | Part A | Part D |
| --- | --- | --- | --- | --- | --- |
| 44 | 283 | 99 | Sample-J | 116 | 24 |
| 13 | 240 | 75 | Sample-C | 57 | 95 |
| 24 | 315 | 102 | Sample-D | 115 | 74 |
| 89 | 252 | 14 | Sample-I | 30 | 119 |
| 40 | 228 | 26 | Sample-L | 49 | 113 |
| 85 | 223 | 94 | Sample-F | 25 | ? |
| 77 | 327 | 88 | Sample-H | 100 | 62 |

Question: What value is missing for Sample-F in Part D?",19,recover_from_total,"{""target_row"": ""Sample-F"", ""missing_column"": ""Part D"", ""known_total"": 223, ""visible_components"": {""Part A"": 25, ""Part B"": 94, ""Part C"": 85}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Part C"", ""Total"", ""Part B"", ""Sample"", ""Part A"", ""Part D""], ""rows"": [[44, 283, 99, ""Sample-J"", 116, 24], [13, 240, 75, ""Sample-C"", 57, 95], [24, 315, 102, ""Sample-D"", 115, 74], [89, 252, 14, ""Sample-I"", 30, 119], [40, 228, 26, ""Sample-L"", 49, 113], [85, 223, 94, ""Sample-F"", 25, ""?""], [77, 327, 88, ""Sample-H"", 100, 62]]}"
A-L5-0009,5,missing_value_from_total,The Part C entry for Sample-B is missing. What should it be?,"| Sample | Part B | Part D | Part A | Part C | Total |
| --- | --- | --- | --- | --- | --- |
| Sample-D | 16 | 18 | 111 | 21 | 166 |
| Sample-B | 55 | 17 | 34 | ? | 207 |
| Sample-A | 116 | 10 | 26 | 21 | 173 |
| Sample-I | 100 | 47 | 47 | 15 | 209 |
| Sample-H | 26 | 65 | 13 | 110 | 214 |
| Sample-J | 97 | 37 | 103 | 56 | 293 |
| Sample-K | 60 | 70 | 78 | 88 | 296 |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Sample | Part B | Part D | Part A | Part C | Total |
| --- | --- | --- | --- | --- | --- |
| Sample-D | 16 | 18 | 111 | 21 | 166 |
| Sample-B | 55 | 17 | 34 | ? | 207 |
| Sample-A | 116 | 10 | 26 | 21 | 173 |
| Sample-I | 100 | 47 | 47 | 15 | 209 |
| Sample-H | 26 | 65 | 13 | 110 | 214 |
| Sample-J | 97 | 37 | 103 | 56 | 293 |
| Sample-K | 60 | 70 | 78 | 88 | 296 |

Question: The Part C entry for Sample-B is missing. What should it be?",101,recover_from_total,"{""target_row"": ""Sample-B"", ""missing_column"": ""Part C"", ""known_total"": 207, ""visible_components"": {""Part A"": 34, ""Part B"": 55, ""Part D"": 17}}","{""component_columns"": [""Part A"", ""Part B"", ""Part C"", ""Part D""]}","{""headers"": [""Sample"", ""Part B"", ""Part D"", ""Part A"", ""Part C"", ""Total""], ""rows"": [[""Sample-D"", 16, 18, 111, 21, 166], [""Sample-B"", 55, 17, 34, ""?"", 207], [""Sample-A"", 116, 10, 26, 21, 173], [""Sample-I"", 100, 47, 47, 15, 209], [""Sample-H"", 26, 65, 13, 110, 214], [""Sample-J"", 97, 37, 103, 56, 293], [""Sample-K"", 60, 70, 78, 88, 296]]}"
A-L5-0010,5,physics_derived_quantity,"Using the table values, calculate the momentum of Sofia.","| Person | Elapsed time | Altitude | Speed | Mass |
| --- | --- | --- | --- | --- |
| Sofia | 42.9 s | 767 m | 9.4 m/s | 79 kg |
| Noah | 24.5 s | 3596 m | 13.2 m/s | 90 kg |
| Jisoo | 104.4 s | 2391 m | 27.5 m/s | 98 kg |
| Hana | 42.2 s | 7082 m | 26.0 m/s | 55 kg |
| Oliver | 40.4 s | 6730 m | 12.4 m/s | 71 kg |
| Daniel | 78.7 s | 3410 m | 8.9 m/s | 62 kg |
| Ava | 103.4 s | 2452 m | 64.4 m/s | 98 kg |","Answer the question using the table. Perform all required reasoning and return only the final answer.

Table:
| Person | Elapsed time | Altitude | Speed | Mass |
| --- | --- | --- | --- | --- |
| Sofia | 42.9 s | 767 m | 9.4 m/s | 79 kg |
| Noah | 24.5 s | 3596 m | 13.2 m/s | 90 kg |
| Jisoo | 104.4 s | 2391 m | 27.5 m/s | 98 kg |
| Hana | 42.2 s | 7082 m | 26.0 m/s | 55 kg |
| Oliver | 40.4 s | 6730 m | 12.4 m/s | 71 kg |
| Daniel | 78.7 s | 3410 m | 8.9 m/s | 62 kg |
| Ava | 103.4 s | 2452 m | 64.4 m/s | 98 kg |

Question: Using the table values, calculate the momentum of Sofia.",742.60 kg·m/s,momentum,"{""target_row"": ""Sofia"", ""mass_kg"": 79, ""speed_m_s"": 9.4}","{""quantity"": ""Momentum"", ""answer_digits"": 2}","{""headers"": [""Person"", ""Elapsed time"", ""Altitude"", ""Speed"", ""Mass""], ""rows"": [[""Sofia"", ""42.9 s"", ""767 m"", ""9.4 m/s"", ""79 kg""], [""Noah"", ""24.5 s"", ""3596 m"", ""13.2 m/s"", ""90 kg""], [""Jisoo"", ""104.4 s"", ""2391 m"", ""27.5 m/s"", ""98 kg""], [""Hana"", ""42.2 s"", ""7082 m"", ""26.0 m/s"", ""55 kg""], [""Oliver"", ""40.4 s"", ""6730 m"", ""12.4 m/s"", ""71 kg""], [""Daniel"", ""78.7 s"", ""3410 m"", ""8.9 m/s"", ""62 kg""], [""Ava"", ""103.4 s"", ""2452 m"", ""64.4 m/s"", ""98 kg""]]}"
