id,level,task_type,domain,question,serialized_table,prompt,answer,evidence_json,operation,num_evidence_cells,table_json
A-L2-0001,2,cross_row_difference,hiking_route,What is the absolute difference in Downhill distance between Sam and Ethan?,"| Morning distance | Afternoon distance | Forest distance | Downhill distance | Hiker | Ridge distance |
| --- | --- | --- | --- | --- | --- |
| 16.5 km | 8.5 km | 11.5 km | 6.0 km | Sam | 8.7 km |
| 11.9 km | 16.8 km | 12.5 km | 3.0 km | Ethan | 9.5 km |
| 13.3 km | 11.4 km | 8.3 km | 10.2 km | Leo | 9.1 km |
| 5.9 km | 11.9 km | 10.4 km | 6.0 km | Nora | 5.2 km |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Morning distance | Afternoon distance | Forest distance | Downhill distance | Hiker | Ridge distance |
| --- | --- | --- | --- | --- | --- |
| 16.5 km | 8.5 km | 11.5 km | 6.0 km | Sam | 8.7 km |
| 11.9 km | 16.8 km | 12.5 km | 3.0 km | Ethan | 9.5 km |
| 13.3 km | 11.4 km | 8.3 km | 10.2 km | Leo | 9.1 km |
| 5.9 km | 11.9 km | 10.4 km | 6.0 km | Nora | 5.2 km |

Question: What is the absolute difference in Downhill distance between Sam and Ethan?",3.0 km,"[{""row_index"": 0, ""column_index"": 3, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Sam"", ""column"": ""Downhill distance"", ""raw_value"": 6.0, ""display_value"": ""6.0 km""}, {""row_index"": 1, ""column_index"": 3, ""row_identifier_column"": ""Hiker"", ""row_identifier_value"": ""Ethan"", ""column"": ""Downhill distance"", ""raw_value"": 3.0, ""display_value"": ""3.0 km""}]",absolute_difference,2,"{""headers"": [""Morning distance"", ""Afternoon distance"", ""Forest distance"", ""Downhill distance"", ""Hiker"", ""Ridge distance""], ""rows"": [[""16.5 km"", ""8.5 km"", ""11.5 km"", ""6.0 km"", ""Sam"", ""8.7 km""], [""11.9 km"", ""16.8 km"", ""12.5 km"", ""3.0 km"", ""Ethan"", ""9.5 km""], [""13.3 km"", ""11.4 km"", ""8.3 km"", ""10.2 km"", ""Leo"", ""9.1 km""], [""5.9 km"", ""11.9 km"", ""10.4 km"", ""6.0 km"", ""Nora"", ""5.2 km""]]}"
A-L2-0002,2,same_row_difference,battery_energy,How far apart are the Morning energy and Evening energy values for Cell-C1? Return the absolute difference.,"| Morning energy | Discharge energy | Afternoon energy | Auxiliary energy | Evening energy | Cell | Charge energy |
| --- | --- | --- | --- | --- | --- | --- |
| 2.49 kWh | 2.29 kWh | 2.56 kWh | 0.74 kWh | 5.17 kWh | Cell-C2 | 11.41 kWh |
| 1.84 kWh | 10.03 kWh | 2.55 kWh | 2.23 kWh | 6.37 kWh | Cell-A2 | 2.59 kWh |
| 6.02 kWh | 11.84 kWh | 3.60 kWh | 2.56 kWh | 3.03 kWh | Cell-E2 | 1.69 kWh |
| 2.80 kWh | 10.12 kWh | 7.93 kWh | 1.70 kWh | 0.99 kWh | Cell-C1 | 4.96 kWh |
| 0.95 kWh | 7.76 kWh | 0.60 kWh | 2.92 kWh | 4.65 kWh | Cell-B1 | 6.46 kWh |
| 1.29 kWh | 2.68 kWh | 4.16 kWh | 3.59 kWh | 5.56 kWh | Cell-D2 | 7.88 kWh |
| 7.26 kWh | 1.72 kWh | 7.94 kWh | 4.18 kWh | 3.23 kWh | Cell-E1 | 6.60 kWh |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Morning energy | Discharge energy | Afternoon energy | Auxiliary energy | Evening energy | Cell | Charge energy |
| --- | --- | --- | --- | --- | --- | --- |
| 2.49 kWh | 2.29 kWh | 2.56 kWh | 0.74 kWh | 5.17 kWh | Cell-C2 | 11.41 kWh |
| 1.84 kWh | 10.03 kWh | 2.55 kWh | 2.23 kWh | 6.37 kWh | Cell-A2 | 2.59 kWh |
| 6.02 kWh | 11.84 kWh | 3.60 kWh | 2.56 kWh | 3.03 kWh | Cell-E2 | 1.69 kWh |
| 2.80 kWh | 10.12 kWh | 7.93 kWh | 1.70 kWh | 0.99 kWh | Cell-C1 | 4.96 kWh |
| 0.95 kWh | 7.76 kWh | 0.60 kWh | 2.92 kWh | 4.65 kWh | Cell-B1 | 6.46 kWh |
| 1.29 kWh | 2.68 kWh | 4.16 kWh | 3.59 kWh | 5.56 kWh | Cell-D2 | 7.88 kWh |
| 7.26 kWh | 1.72 kWh | 7.94 kWh | 4.18 kWh | 3.23 kWh | Cell-E1 | 6.60 kWh |

Question: How far apart are the Morning energy and Evening energy values for Cell-C1? Return the absolute difference.",1.81 kWh,"[{""row_index"": 3, ""column_index"": 0, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-C1"", ""column"": ""Morning energy"", ""raw_value"": 2.8, ""display_value"": ""2.80 kWh""}, {""row_index"": 3, ""column_index"": 4, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-C1"", ""column"": ""Evening energy"", ""raw_value"": 0.99, ""display_value"": ""0.99 kWh""}]",absolute_difference,2,"{""headers"": [""Morning energy"", ""Discharge energy"", ""Afternoon energy"", ""Auxiliary energy"", ""Evening energy"", ""Cell"", ""Charge energy""], ""rows"": [[""2.49 kWh"", ""2.29 kWh"", ""2.56 kWh"", ""0.74 kWh"", ""5.17 kWh"", ""Cell-C2"", ""11.41 kWh""], [""1.84 kWh"", ""10.03 kWh"", ""2.55 kWh"", ""2.23 kWh"", ""6.37 kWh"", ""Cell-A2"", ""2.59 kWh""], [""6.02 kWh"", ""11.84 kWh"", ""3.60 kWh"", ""2.56 kWh"", ""3.03 kWh"", ""Cell-E2"", ""1.69 kWh""], [""2.80 kWh"", ""10.12 kWh"", ""7.93 kWh"", ""1.70 kWh"", ""0.99 kWh"", ""Cell-C1"", ""4.96 kWh""], [""0.95 kWh"", ""7.76 kWh"", ""0.60 kWh"", ""2.92 kWh"", ""4.65 kWh"", ""Cell-B1"", ""6.46 kWh""], [""1.29 kWh"", ""2.68 kWh"", ""4.16 kWh"", ""3.59 kWh"", ""5.56 kWh"", ""Cell-D2"", ""7.88 kWh""], [""7.26 kWh"", ""1.72 kWh"", ""7.94 kWh"", ""4.18 kWh"", ""3.23 kWh"", ""Cell-E1"", ""6.60 kWh""]]}"
A-L2-0003,2,cross_row_difference,race_sector_times,How far apart are David and Hana in Penalty time? Return the absolute difference.,"| Sector 1 time | Penalty time | Driver | Stop time | Sector 3 time | Sector 2 time |
| --- | --- | --- | --- | --- | --- |
| 35.92 s | 8.50 s | David | 7.70 s | 33.95 s | 23.51 s |
| 18.88 s | 1.55 s | Oliver | 9.31 s | 38.74 s | 21.03 s |
| 24.60 s | 6.14 s | Nora | 11.96 s | 19.06 s | 21.00 s |
| 24.06 s | 6.57 s | Hana | 5.26 s | 34.42 s | 39.36 s |
| 26.67 s | 6.25 s | Jisoo | 12.30 s | 29.08 s | 34.95 s |
| 34.97 s | 1.85 s | Maya | 4.27 s | 41.09 s | 29.19 s |
| 19.95 s | 3.04 s | Ethan | 13.29 s | 36.04 s | 39.82 s |
| 35.14 s | 0.59 s | Ava | 2.63 s | 42.15 s | 43.07 s |
| 40.49 s | 4.37 s | Lucas | 8.05 s | 18.45 s | 39.99 s |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Sector 1 time | Penalty time | Driver | Stop time | Sector 3 time | Sector 2 time |
| --- | --- | --- | --- | --- | --- |
| 35.92 s | 8.50 s | David | 7.70 s | 33.95 s | 23.51 s |
| 18.88 s | 1.55 s | Oliver | 9.31 s | 38.74 s | 21.03 s |
| 24.60 s | 6.14 s | Nora | 11.96 s | 19.06 s | 21.00 s |
| 24.06 s | 6.57 s | Hana | 5.26 s | 34.42 s | 39.36 s |
| 26.67 s | 6.25 s | Jisoo | 12.30 s | 29.08 s | 34.95 s |
| 34.97 s | 1.85 s | Maya | 4.27 s | 41.09 s | 29.19 s |
| 19.95 s | 3.04 s | Ethan | 13.29 s | 36.04 s | 39.82 s |
| 35.14 s | 0.59 s | Ava | 2.63 s | 42.15 s | 43.07 s |
| 40.49 s | 4.37 s | Lucas | 8.05 s | 18.45 s | 39.99 s |

Question: How far apart are David and Hana in Penalty time? Return the absolute difference.",1.93 s,"[{""row_index"": 0, ""column_index"": 1, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""David"", ""column"": ""Penalty time"", ""raw_value"": 8.5, ""display_value"": ""8.50 s""}, {""row_index"": 3, ""column_index"": 1, ""row_identifier_column"": ""Driver"", ""row_identifier_value"": ""Hana"", ""column"": ""Penalty time"", ""raw_value"": 6.57, ""display_value"": ""6.57 s""}]",absolute_difference,2,"{""headers"": [""Sector 1 time"", ""Penalty time"", ""Driver"", ""Stop time"", ""Sector 3 time"", ""Sector 2 time""], ""rows"": [[""35.92 s"", ""8.50 s"", ""David"", ""7.70 s"", ""33.95 s"", ""23.51 s""], [""18.88 s"", ""1.55 s"", ""Oliver"", ""9.31 s"", ""38.74 s"", ""21.03 s""], [""24.60 s"", ""6.14 s"", ""Nora"", ""11.96 s"", ""19.06 s"", ""21.00 s""], [""24.06 s"", ""6.57 s"", ""Hana"", ""5.26 s"", ""34.42 s"", ""39.36 s""], [""26.67 s"", ""6.25 s"", ""Jisoo"", ""12.30 s"", ""29.08 s"", ""34.95 s""], [""34.97 s"", ""1.85 s"", ""Maya"", ""4.27 s"", ""41.09 s"", ""29.19 s""], [""19.95 s"", ""3.04 s"", ""Ethan"", ""13.29 s"", ""36.04 s"", ""39.82 s""], [""35.14 s"", ""0.59 s"", ""Ava"", ""2.63 s"", ""42.15 s"", ""43.07 s""], [""40.49 s"", ""4.37 s"", ""Lucas"", ""8.05 s"", ""18.45 s"", ""39.99 s""]]}"
A-L2-0004,2,cross_row_difference,lab_mass_measurements,What is the absolute difference in Initial mass between Sample-A and Sample-B?,"| Sample | Initial mass | Wet mass | Final mass | Material mass | Container mass | Dry mass |
| --- | --- | --- | --- | --- | --- | --- |
| Sample-I | 65.0 g | 163.2 g | 293.4 g | 128.0 g | 36.2 g | 109.1 g |
| Sample-C | 197.2 g | 310.2 g | 20.1 g | 292.1 g | 15.2 g | 22.4 g |
| Sample-L | 359.1 g | 289.3 g | 105.2 g | 58.3 g | 43.0 g | 88.3 g |
| Sample-B | 366.5 g | 167.2 g | 446.3 g | 149.3 g | 106.8 g | 88.5 g |
| Sample-F | 58.2 g | 227.9 g | 167.2 g | 384.7 g | 108.0 g | 132.7 g |
| Sample-J | 86.3 g | 316.7 g | 305.3 g | 291.3 g | 34.7 g | 35.1 g |
| Sample-A | 198.0 g | 184.7 g | 121.2 g | 378.6 g | 39.3 g | 95.6 g |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Sample | Initial mass | Wet mass | Final mass | Material mass | Container mass | Dry mass |
| --- | --- | --- | --- | --- | --- | --- |
| Sample-I | 65.0 g | 163.2 g | 293.4 g | 128.0 g | 36.2 g | 109.1 g |
| Sample-C | 197.2 g | 310.2 g | 20.1 g | 292.1 g | 15.2 g | 22.4 g |
| Sample-L | 359.1 g | 289.3 g | 105.2 g | 58.3 g | 43.0 g | 88.3 g |
| Sample-B | 366.5 g | 167.2 g | 446.3 g | 149.3 g | 106.8 g | 88.5 g |
| Sample-F | 58.2 g | 227.9 g | 167.2 g | 384.7 g | 108.0 g | 132.7 g |
| Sample-J | 86.3 g | 316.7 g | 305.3 g | 291.3 g | 34.7 g | 35.1 g |
| Sample-A | 198.0 g | 184.7 g | 121.2 g | 378.6 g | 39.3 g | 95.6 g |

Question: What is the absolute difference in Initial mass between Sample-A and Sample-B?",168.5 g,"[{""row_index"": 6, ""column_index"": 1, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-A"", ""column"": ""Initial mass"", ""raw_value"": 198.0, ""display_value"": ""198.0 g""}, {""row_index"": 3, ""column_index"": 1, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-B"", ""column"": ""Initial mass"", ""raw_value"": 366.5, ""display_value"": ""366.5 g""}]",absolute_difference,2,"{""headers"": [""Sample"", ""Initial mass"", ""Wet mass"", ""Final mass"", ""Material mass"", ""Container mass"", ""Dry mass""], ""rows"": [[""Sample-I"", ""65.0 g"", ""163.2 g"", ""293.4 g"", ""128.0 g"", ""36.2 g"", ""109.1 g""], [""Sample-C"", ""197.2 g"", ""310.2 g"", ""20.1 g"", ""292.1 g"", ""15.2 g"", ""22.4 g""], [""Sample-L"", ""359.1 g"", ""289.3 g"", ""105.2 g"", ""58.3 g"", ""43.0 g"", ""88.3 g""], [""Sample-B"", ""366.5 g"", ""167.2 g"", ""446.3 g"", ""149.3 g"", ""106.8 g"", ""88.5 g""], [""Sample-F"", ""58.2 g"", ""227.9 g"", ""167.2 g"", ""384.7 g"", ""108.0 g"", ""132.7 g""], [""Sample-J"", ""86.3 g"", ""316.7 g"", ""305.3 g"", ""291.3 g"", ""34.7 g"", ""35.1 g""], [""Sample-A"", ""198.0 g"", ""184.7 g"", ""121.2 g"", ""378.6 g"", ""39.3 g"", ""95.6 g""]]}"
A-L2-0005,2,same_row_sum,basketball_game,"According to the table, what is the combined value of First-half points and Second-half points for Comets?","| Bench points | Paint points | Fast-break points | Second-half points | Free-throw points | Team | First-half points |
| --- | --- | --- | --- | --- | --- | --- |
| 21 points | 27 points | 4 points | 63 points | 30 points | Wolves | 21 points |
| 44 points | 29 points | 12 points | 35 points | 22 points | Sharks | 60 points |
| 12 points | 18 points | 29 points | 39 points | 27 points | Dragons | 23 points |
| 19 points | 19 points | 10 points | 67 points | 15 points | Cyclones | 48 points |
| 16 points | 42 points | 20 points | 65 points | 5 points | Comets | 66 points |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Bench points | Paint points | Fast-break points | Second-half points | Free-throw points | Team | First-half points |
| --- | --- | --- | --- | --- | --- | --- |
| 21 points | 27 points | 4 points | 63 points | 30 points | Wolves | 21 points |
| 44 points | 29 points | 12 points | 35 points | 22 points | Sharks | 60 points |
| 12 points | 18 points | 29 points | 39 points | 27 points | Dragons | 23 points |
| 19 points | 19 points | 10 points | 67 points | 15 points | Cyclones | 48 points |
| 16 points | 42 points | 20 points | 65 points | 5 points | Comets | 66 points |

Question: According to the table, what is the combined value of First-half points and Second-half points for Comets?",131 points,"[{""row_index"": 4, ""column_index"": 6, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Comets"", ""column"": ""First-half points"", ""raw_value"": 66.0, ""display_value"": ""66 points""}, {""row_index"": 4, ""column_index"": 3, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Comets"", ""column"": ""Second-half points"", ""raw_value"": 65.0, ""display_value"": ""65 points""}]",add,2,"{""headers"": [""Bench points"", ""Paint points"", ""Fast-break points"", ""Second-half points"", ""Free-throw points"", ""Team"", ""First-half points""], ""rows"": [[""21 points"", ""27 points"", ""4 points"", ""63 points"", ""30 points"", ""Wolves"", ""21 points""], [""44 points"", ""29 points"", ""12 points"", ""35 points"", ""22 points"", ""Sharks"", ""60 points""], [""12 points"", ""18 points"", ""29 points"", ""39 points"", ""27 points"", ""Dragons"", ""23 points""], [""19 points"", ""19 points"", ""10 points"", ""67 points"", ""15 points"", ""Cyclones"", ""48 points""], [""16 points"", ""42 points"", ""20 points"", ""65 points"", ""5 points"", ""Comets"", ""66 points""]]}"
A-L2-0006,2,same_row_sum,lab_mass_measurements,"According to the table, what is the combined value of Container mass and Material mass for Sample-K?","| Initial mass | Material mass | Container mass | Sample |
| --- | --- | --- | --- |
| 428.8 g | 321.8 g | 72.8 g | Sample-B |
| 370.6 g | 17.6 g | 85.2 g | Sample-E |
| 378.5 g | 145.8 g | 116.7 g | Sample-K |
| 135.4 g | 199.5 g | 22.7 g | Sample-J |
| 444.9 g | 282.3 g | 57.6 g | Sample-F |
| 285.5 g | 164.0 g | 36.2 g | Sample-H |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Initial mass | Material mass | Container mass | Sample |
| --- | --- | --- | --- |
| 428.8 g | 321.8 g | 72.8 g | Sample-B |
| 370.6 g | 17.6 g | 85.2 g | Sample-E |
| 378.5 g | 145.8 g | 116.7 g | Sample-K |
| 135.4 g | 199.5 g | 22.7 g | Sample-J |
| 444.9 g | 282.3 g | 57.6 g | Sample-F |
| 285.5 g | 164.0 g | 36.2 g | Sample-H |

Question: According to the table, what is the combined value of Container mass and Material mass for Sample-K?",262.5 g,"[{""row_index"": 2, ""column_index"": 2, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-K"", ""column"": ""Container mass"", ""raw_value"": 116.7, ""display_value"": ""116.7 g""}, {""row_index"": 2, ""column_index"": 1, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-K"", ""column"": ""Material mass"", ""raw_value"": 145.8, ""display_value"": ""145.8 g""}]",add,2,"{""headers"": [""Initial mass"", ""Material mass"", ""Container mass"", ""Sample""], ""rows"": [[""428.8 g"", ""321.8 g"", ""72.8 g"", ""Sample-B""], [""370.6 g"", ""17.6 g"", ""85.2 g"", ""Sample-E""], [""378.5 g"", ""145.8 g"", ""116.7 g"", ""Sample-K""], [""135.4 g"", ""199.5 g"", ""22.7 g"", ""Sample-J""], [""444.9 g"", ""282.3 g"", ""57.6 g"", ""Sample-F""], [""285.5 g"", ""164.0 g"", ""36.2 g"", ""Sample-H""]]}"
A-L2-0007,2,same_row_difference,quarterly_sales,Find the absolute difference between Westhaven's Q1 sales and Q2 sales.,"| Online sales | Q4 sales | Q1 sales | Q3 sales | Q2 sales | Region |
| --- | --- | --- | --- | --- | --- |
| 20.3 kUSD | 201.1 kUSD | 251.4 kUSD | 495.1 kUSD | 177.4 kUSD | Oakridge |
| 294.0 kUSD | 247.7 kUSD | 458.4 kUSD | 134.2 kUSD | 47.9 kUSD | Westhaven |
| 269.5 kUSD | 354.0 kUSD | 83.2 kUSD | 224.9 kUSD | 47.9 kUSD | Clearwater |
| 118.3 kUSD | 60.3 kUSD | 173.2 kUSD | 74.6 kUSD | 254.1 kUSD | Hillcrest |
| 23.1 kUSD | 300.5 kUSD | 121.3 kUSD | 294.3 kUSD | 24.9 kUSD | Pinehurst |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Online sales | Q4 sales | Q1 sales | Q3 sales | Q2 sales | Region |
| --- | --- | --- | --- | --- | --- |
| 20.3 kUSD | 201.1 kUSD | 251.4 kUSD | 495.1 kUSD | 177.4 kUSD | Oakridge |
| 294.0 kUSD | 247.7 kUSD | 458.4 kUSD | 134.2 kUSD | 47.9 kUSD | Westhaven |
| 269.5 kUSD | 354.0 kUSD | 83.2 kUSD | 224.9 kUSD | 47.9 kUSD | Clearwater |
| 118.3 kUSD | 60.3 kUSD | 173.2 kUSD | 74.6 kUSD | 254.1 kUSD | Hillcrest |
| 23.1 kUSD | 300.5 kUSD | 121.3 kUSD | 294.3 kUSD | 24.9 kUSD | Pinehurst |

Question: Find the absolute difference between Westhaven's Q1 sales and Q2 sales.",410.5 kUSD,"[{""row_index"": 1, ""column_index"": 2, ""row_identifier_column"": ""Region"", ""row_identifier_value"": ""Westhaven"", ""column"": ""Q1 sales"", ""raw_value"": 458.4, ""display_value"": ""458.4 kUSD""}, {""row_index"": 1, ""column_index"": 4, ""row_identifier_column"": ""Region"", ""row_identifier_value"": ""Westhaven"", ""column"": ""Q2 sales"", ""raw_value"": 47.9, ""display_value"": ""47.9 kUSD""}]",absolute_difference,2,"{""headers"": [""Online sales"", ""Q4 sales"", ""Q1 sales"", ""Q3 sales"", ""Q2 sales"", ""Region""], ""rows"": [[""20.3 kUSD"", ""201.1 kUSD"", ""251.4 kUSD"", ""495.1 kUSD"", ""177.4 kUSD"", ""Oakridge""], [""294.0 kUSD"", ""247.7 kUSD"", ""458.4 kUSD"", ""134.2 kUSD"", ""47.9 kUSD"", ""Westhaven""], [""269.5 kUSD"", ""354.0 kUSD"", ""83.2 kUSD"", ""224.9 kUSD"", ""47.9 kUSD"", ""Clearwater""], [""118.3 kUSD"", ""60.3 kUSD"", ""173.2 kUSD"", ""74.6 kUSD"", ""254.1 kUSD"", ""Hillcrest""], [""23.1 kUSD"", ""300.5 kUSD"", ""121.3 kUSD"", ""294.3 kUSD"", ""24.9 kUSD"", ""Pinehurst""]]}"
A-L2-0008,2,cross_row_sum,battery_energy,"According to the table, what do Cell-B1 and Cell-C2 have in total for Discharge energy?","| Cell | Afternoon energy | Charge energy | Discharge energy | Evening energy |
| --- | --- | --- | --- | --- |
| Cell-A2 | 2.74 kWh | 0.69 kWh | 0.80 kWh | 2.08 kWh |
| Cell-E1 | 4.97 kWh | 10.17 kWh | 7.04 kWh | 0.89 kWh |
| Cell-F1 | 3.55 kWh | 3.88 kWh | 1.04 kWh | 0.93 kWh |
| Cell-E2 | 6.01 kWh | 4.53 kWh | 6.39 kWh | 0.88 kWh |
| Cell-C2 | 5.90 kWh | 9.01 kWh | 9.72 kWh | 6.45 kWh |
| Cell-B1 | 3.42 kWh | 10.10 kWh | 1.85 kWh | 6.35 kWh |
| Cell-B2 | 4.46 kWh | 2.53 kWh | 4.23 kWh | 3.94 kWh |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Cell | Afternoon energy | Charge energy | Discharge energy | Evening energy |
| --- | --- | --- | --- | --- |
| Cell-A2 | 2.74 kWh | 0.69 kWh | 0.80 kWh | 2.08 kWh |
| Cell-E1 | 4.97 kWh | 10.17 kWh | 7.04 kWh | 0.89 kWh |
| Cell-F1 | 3.55 kWh | 3.88 kWh | 1.04 kWh | 0.93 kWh |
| Cell-E2 | 6.01 kWh | 4.53 kWh | 6.39 kWh | 0.88 kWh |
| Cell-C2 | 5.90 kWh | 9.01 kWh | 9.72 kWh | 6.45 kWh |
| Cell-B1 | 3.42 kWh | 10.10 kWh | 1.85 kWh | 6.35 kWh |
| Cell-B2 | 4.46 kWh | 2.53 kWh | 4.23 kWh | 3.94 kWh |

Question: According to the table, what do Cell-B1 and Cell-C2 have in total for Discharge energy?",11.57 kWh,"[{""row_index"": 5, ""column_index"": 3, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-B1"", ""column"": ""Discharge energy"", ""raw_value"": 1.85, ""display_value"": ""1.85 kWh""}, {""row_index"": 4, ""column_index"": 3, ""row_identifier_column"": ""Cell"", ""row_identifier_value"": ""Cell-C2"", ""column"": ""Discharge energy"", ""raw_value"": 9.72, ""display_value"": ""9.72 kWh""}]",add,2,"{""headers"": [""Cell"", ""Afternoon energy"", ""Charge energy"", ""Discharge energy"", ""Evening energy""], ""rows"": [[""Cell-A2"", ""2.74 kWh"", ""0.69 kWh"", ""0.80 kWh"", ""2.08 kWh""], [""Cell-E1"", ""4.97 kWh"", ""10.17 kWh"", ""7.04 kWh"", ""0.89 kWh""], [""Cell-F1"", ""3.55 kWh"", ""3.88 kWh"", ""1.04 kWh"", ""0.93 kWh""], [""Cell-E2"", ""6.01 kWh"", ""4.53 kWh"", ""6.39 kWh"", ""0.88 kWh""], [""Cell-C2"", ""5.90 kWh"", ""9.01 kWh"", ""9.72 kWh"", ""6.45 kWh""], [""Cell-B1"", ""3.42 kWh"", ""10.10 kWh"", ""1.85 kWh"", ""6.35 kWh""], [""Cell-B2"", ""4.46 kWh"", ""2.53 kWh"", ""4.23 kWh"", ""3.94 kWh""]]}"
A-L2-0009,2,same_row_sum,lab_mass_measurements,Add Sample-E's Dry mass and Container mass. What is the total?,"| Dry mass | Sample | Final mass | Container mass | Material mass | Initial mass |
| --- | --- | --- | --- | --- | --- |
| 298.0 g | Sample-F | 201.9 g | 23.4 g | 20.8 g | 20.8 g |
| 122.1 g | Sample-L | 411.4 g | 62.5 g | 67.9 g | 203.4 g |
| 69.1 g | Sample-C | 435.2 g | 25.2 g | 227.7 g | 428.3 g |
| 94.3 g | Sample-E | 24.1 g | 17.6 g | 73.6 g | 400.2 g |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Dry mass | Sample | Final mass | Container mass | Material mass | Initial mass |
| --- | --- | --- | --- | --- | --- |
| 298.0 g | Sample-F | 201.9 g | 23.4 g | 20.8 g | 20.8 g |
| 122.1 g | Sample-L | 411.4 g | 62.5 g | 67.9 g | 203.4 g |
| 69.1 g | Sample-C | 435.2 g | 25.2 g | 227.7 g | 428.3 g |
| 94.3 g | Sample-E | 24.1 g | 17.6 g | 73.6 g | 400.2 g |

Question: Add Sample-E's Dry mass and Container mass. What is the total?",111.9 g,"[{""row_index"": 3, ""column_index"": 0, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-E"", ""column"": ""Dry mass"", ""raw_value"": 94.3, ""display_value"": ""94.3 g""}, {""row_index"": 3, ""column_index"": 3, ""row_identifier_column"": ""Sample"", ""row_identifier_value"": ""Sample-E"", ""column"": ""Container mass"", ""raw_value"": 17.6, ""display_value"": ""17.6 g""}]",add,2,"{""headers"": [""Dry mass"", ""Sample"", ""Final mass"", ""Container mass"", ""Material mass"", ""Initial mass""], ""rows"": [[""298.0 g"", ""Sample-F"", ""201.9 g"", ""23.4 g"", ""20.8 g"", ""20.8 g""], [""122.1 g"", ""Sample-L"", ""411.4 g"", ""62.5 g"", ""67.9 g"", ""203.4 g""], [""69.1 g"", ""Sample-C"", ""435.2 g"", ""25.2 g"", ""227.7 g"", ""428.3 g""], [""94.3 g"", ""Sample-E"", ""24.1 g"", ""17.6 g"", ""73.6 g"", ""400.2 g""]]}"
A-L2-0010,2,same_row_sum,basketball_game,Add Tigers's Paint points and Bench points. What is the total?,"| Free-throw points | Fast-break points | Paint points | Team | Bench points |
| --- | --- | --- | --- | --- |
| 21 points | 8 points | 49 points | Knights | 34 points |
| 18 points | 25 points | 11 points | Tigers | 22 points |
| 33 points | 5 points | 23 points | Falcons | 6 points |
| 24 points | 28 points | 23 points | Sharks | 26 points |","Answer the question using the table. Perform the required calculation and return only the final value with its unit.

Table:
| Free-throw points | Fast-break points | Paint points | Team | Bench points |
| --- | --- | --- | --- | --- |
| 21 points | 8 points | 49 points | Knights | 34 points |
| 18 points | 25 points | 11 points | Tigers | 22 points |
| 33 points | 5 points | 23 points | Falcons | 6 points |
| 24 points | 28 points | 23 points | Sharks | 26 points |

Question: Add Tigers's Paint points and Bench points. What is the total?",33 points,"[{""row_index"": 1, ""column_index"": 2, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Tigers"", ""column"": ""Paint points"", ""raw_value"": 11.0, ""display_value"": ""11 points""}, {""row_index"": 1, ""column_index"": 4, ""row_identifier_column"": ""Team"", ""row_identifier_value"": ""Tigers"", ""column"": ""Bench points"", ""raw_value"": 22.0, ""display_value"": ""22 points""}]",add,2,"{""headers"": [""Free-throw points"", ""Fast-break points"", ""Paint points"", ""Team"", ""Bench points""], ""rows"": [[""21 points"", ""8 points"", ""49 points"", ""Knights"", ""34 points""], [""18 points"", ""25 points"", ""11 points"", ""Tigers"", ""22 points""], [""33 points"", ""5 points"", ""23 points"", ""Falcons"", ""6 points""], [""24 points"", ""28 points"", ""23 points"", ""Sharks"", ""26 points""]]}"
